Category,Item,Source,Status,Owner,Paid by,Total Cost,Cost per person,Column 1
Tent Setup,Tent,,Complete,,,,,
Tent Setup,cooler - https://www.homedepot.com/p/Hessaire-900-CFM-2-Speed-Portable-Evaporative-Cooler-for-350-sq-ft-in-Gray-MC12V/327848113,,Complete,,,,,
Tent Setup,carpet,,Complete,,,,,
Tent Setup,bed sheet,,Complete,,,,,
Tent Setup,hanging clip lights,,Complete,,,,,
Tent Setup,25 feet min extension chord for light,,Complete,,,,,
Tent Setup,clothing rack,,Complete,,,,,
Bedding & Sleep,sleeping bag,,Complete,,,,,
Bedding & Sleep,Sleep mask & earplugs,,Complete,,,,,
Bedding & Sleep,pillows,,Complete,,,,,
Shower & Hygiene,Lotion & lip balm,,Complete,,,travel packs,,
Shower & Hygiene,Towels,,Complete,,,2 towels,,
Shower & Hygiene,shower wipes,,Complete,,,,,
Shower & Hygiene,Portable mirror,,Complete,,,,,
Shower & Hygiene,Biodegradable soap / shower stuff,,Complete,,,,,
Shower & Hygiene,butt wipes,,Complete,,,,,
Shower & Hygiene,Hand sanitizer,,Complete,,,,,
Eating,utensils to eat,,Complete,,,,,
Eating,plates / cups / bowl,,Complete,,,,,
Eating,Refillable bottles/camelbaks,,Complete,,,,,
Eating,Electrolyte tablets/mixes,,Complete,,,,,
Costumes & Clothing,face gems,,Complete,,,,,
Costumes & Clothing,goggles,,Complete,,,,,
Costumes & Clothing,dust mask,,Complete,,,,,
Costumes & Clothing,Boots/shoes (including a backup pair),,Complete,,,,,
Costumes & Clothing,Camp sandals,,Complete,,,,,
Costumes & Clothing,Utility belt/fanny pack,,In Progress,,,,,
Costumes & Clothing,backpack or water back,,Complete,,,,,
Costumes & Clothing,hand fan,,Complete,,,,,
Costumes & Clothing,Glow items,,Complete,,,,,
Costumes & Clothing,sweatpant set,,Complete,,,,,
Costumes & Clothing,t shirt,,Complete,,,,,
Costumes & Clothing,dust free after outfit,,Complete,,,,,
Costumes & Clothing,workout set,,Complete,,,,,
Costumes & Clothing,catsuit outfit,,Complete,,,,,
Costumes & Clothing,scarf,,Complete,,,,,
Costumes & Clothing,2 bikini sets,,Complete,,,,,
Costumes & Clothing,pink fluffy jacket,,Complete,,,,,
Costumes & Clothing,white fake fur jacket,,Complete,,,,,
Costumes & Clothing,sleeping underwear (9 pairs),,Complete,,,,,
Bikes & Mobility,Bike locks,,Complete,,,,,
Bikes & Mobility,Bike lights,,Complete,,,,,
Bikes & Mobility,Bike decorations,,Complete,,,,,
Personal Care & Meds,Allergy pills,,,,,,,
Personal Care & Meds,contacts + glasses,,Complete,,,,,
Personal Care & Meds,Nasal spray,,Complete,,,,,
Personal Care & Meds,recovery vitamins,,Complete,,,,,
Personal Care & Meds,klennix packets,,Complete,,,,,
Personal Care & Meds,spray bottle,,Complete,,,,,
Personal Care & Meds,vinegar,,,,,"	Vinegar or Witch Hazel + container your feet & hands fit into, also add a little to each package of baby wipes & spray bottle",,
